time,region,equipment,gdp,investment,agriculture
2015Q2,shanghai,100,107,96.9,102.1
2015Q1,shanghai,100,106.6,98.3,101.7
2014Q4,shanghai,99.8,107,98.9,97.7
2014Q3,shanghai,99.5,107,100.4,99.4
2014Q2,shanghai,99.2,107.1,100.7,104.2
2014Q1,shanghai,99.3,107,101.8,91.2
2013Q4,shanghai,99.1,107.7,101.6,109
2013Q3,shanghai,98.3,107.7,100.1,106.7
2013Q2,shanghai,98,107.7,99.5,101
2013Q1,shanghai,98.4,107.8,99.5,98.2
2012Q4,shanghai,98.4,107.5,99.1,98.7
2012Q3,shanghai,98.5,107.4,98.5,98.2
2012Q2,shanghai,98.6,107.2,99.6,103.7
2012Q1,shanghai,99,107,100.6,117.9
2011Q4,shanghai,99.6,108.2,104.6,108.8
2011Q3,shanghai,99.8,108.3,106.5,119.6
2011Q2,shanghai,99.8,108.4,107.3,112.1
2011Q1,shanghai,99.4,108.5,107.4,107.1
2010Q4,shanghai,99.1,109.9,105.9,113.4
2010Q3,shanghai,98.9,111.5,102.9,107.2
2010Q2,shanghai,98.8,112.7,104.6,105.7
2010Q1,shanghai,97.7,115,101.5,101.7
2009Q4,shanghai,96,108.2,97.6,104
2009Q3,shanghai,95.4,107.1,96.1,100.7
2009Q2,shanghai,96,105.6,95.4,99.1
2009Q1,shanghai,96.8,103.1,99,100.4
2008Q4,shanghai,98.9,109.7,103.5,106
2008Q3,shanghai,99.5,110.1,110.1,110
2008Q2,shanghai,100,110.3,110.5,112.7
2008Q1,shanghai,99.7,111.5,107.6,125.9
2007Q4,shanghai,99.1,113.3,105.3,110.7
2007Q3,shanghai,99.1,113.4,103.9,113.6
2007Q2,shanghai,99.5,113,102.9,115.2
2007Q1,shanghai,99.7,112.6,101.9,105.3
2006Q4,shanghai,98.1,112,101.1,106.3
2006Q3,shanghai,97.5,112.4,99.7,100.8
2006Q2,shanghai,97.6,112.6,99.7,102.7
2006Q1,shanghai,96.2,112.3,99.8,99.2
2005Q4,shanghai,96.9,111.1,100.2,104.6
2005Q3,shanghai,97.2,110.6,100.5,106.1
2005Q2,shanghai,96.9,110.3,100.6,105.5
2005Q1,shanghai,98.6,110.8,102,108.5
2015Q2,jiangsu,99.6,108.5,96.6,100.4
2015Q1,jiangsu,99.6,108.4,97.5,101.6
2014Q4,jiangsu,99.7,108.7,100.2,100.2
2014Q3,jiangsu,99.7,108.8,100.9,102.9
2014Q2,jiangsu,99.6,108.9,101.1,102.1
2014Q1,jiangsu,99.6,108.8,102.2,100.1
2013Q4,jiangsu,99.7,109.6,101.8,103.4
2013Q3,jiangsu,98.5,109.6,100.2,104.3
2013Q2,jiangsu,98.3,109.6,99.9,101.2
2013Q1,jiangsu,98.6,109.7,99.9,104.5
2012Q4,jiangsu,98.4,110.1,98.2,103.5
2012Q3,jiangsu,98.1,110.1,97.5,99.1
2012Q2,jiangsu,98.2,109.9,98.9,105
2012Q1,jiangsu,98.1,109.8,100,107.7
2011Q4,jiangsu,100,111,103.9,108
2011Q3,jiangsu,101.2,111.2,107.2,116.7
2011Q2,jiangsu,101.8,111.4,107.9,113.2
2011Q1,jiangsu,101.8,111.6,108.2,110.5
2010Q4,jiangsu,100.9,112.6,108.7,112.2
2010Q3,jiangsu,102,113,103.6,109
2010Q2,jiangsu,102.7,113.2,104.6,105.8
2010Q1,jiangsu,101.1,115.4,103.4,105.2
2009Q4,jiangsu,97.3,112.4,101,105.6
2009Q3,jiangsu,95.1,111.7,95.8,101.5
2009Q2,jiangsu,95,111.2,95.8,94.9
2009Q1,jiangsu,97.2,110.2,98.2,95.1
2008Q4,jiangsu,100.2,112.3,103.7,97.9
2008Q3,jiangsu,100.6,113.1,114.4,110.5
2008Q2,jiangsu,100.9,113.6,112.3,122.9
2008Q1,jiangsu,100.7,113.7,111.5,126
2007Q4,jiangsu,99.6,114.8,107.2,114
2007Q3,jiangsu,99.5,115,104.6,117.8
2007Q2,jiangsu,99.6,115,104.2,112.3
2007Q1,jiangsu,100.1,115.2,103.5,106.4
2006Q4,jiangsu,101.2,114.9,102.5,105.7
2006Q3,jiangsu,101.7,115,101.1,100.8
2006Q2,jiangsu,101,115.4,101.3,96.6
2006Q1,jiangsu,99.4,115.2,100,96.8
2005Q4,jiangsu,100.1,114.5,100.5,99.1
2005Q3,jiangsu,99.8,114.3,100.8,101.4
2005Q2,jiangsu,100.4,114.5,100.8,100.2
2005Q1,jiangsu,101.6,114.1,101.5,107.2
2015Q2,zhejiang,99.4,108.3,97.8,101
2015Q1,zhejiang,99.5,108.2,98.5,102.5
2014Q4,zhejiang,99.6,107.6,99.7,99.1
2014Q3,zhejiang,99.6,107.4,100.5,99.1
2014Q2,zhejiang,99.4,107.2,100.8,101.5
2014Q1,zhejiang,99.4,107,101.3,98.8
2013Q4,zhejiang,99.1,108.2,101.1,104.1
2013Q3,zhejiang,98.5,108.3,100.3,102.2
2013Q2,zhejiang,98.5,108.3,99.1,102.5
2013Q1,zhejiang,98.6,108.3,99.4,106.1
2012Q4,zhejiang,98.3,108,98.1,102.4
2012Q3,zhejiang,98,107.7,97.6,102.7
2012Q2,zhejiang,98.5,107.4,99.8,106.6
2012Q1,zhejiang,99.3,107.1,101.4,109.8
2011Q4,zhejiang,100.7,109,104.9,112
